월,디비전,국가,거래선,모델,수량,매출,비용1,비용2,비용3,영업이익
202507,TV,UK,Target,OLED_Monitor34,90,284844,76549,41500,18238,82141
202608,Appliances,US,Costco,QLED85_Q80,131,490205,191264,11455,4828,92097
202603,Display,US,Target,NeoQLED_75,422,166954,178811,72088,2976,62658
202511,Display,UK,Target,Galaxy_A55,424,205137,241599,24608,20004,139041
202508,Appliances,US,Costco,OLED65_G4,17,334718,231602,71519,20377,-4807
202609,Mobile,PL,Costco,OLED_Monitor34,75,381221,223417,32367,25598,100300
202507,TV,DE,Walmart,Galaxy_S24U,299,25656,59939,59759,2089,24457
202607,Mobile,KR,Target,Galaxy_A55,167,80548,132442,39565,20955,-6791
202611,Appliances,KR,BestBuy,Galaxy_S24U,360,73942,243290,68702,11113,120136
202511,Mobile,DE,Target,Galaxy_ZFold6,191,68255,205330,24070,23920,36697
202511,Appliances,PL,Target,Galaxy_A55,188,246885,132700,35005,6122,92154
202612,Display,US,Amazon,SmartMonitor_M8,106,160752,151132,54758,2439,10426
202609,Mobile,UK,Amazon,Galaxy_S24U,75,444221,28153,35935,12101,21179
202504,TV,UK,Walmart,SmartMonitor_M8,438,162704,12082,10724,1861,90323
202508,Mobile,US,BestBuy,OLED_Monitor34,324,125802,81000,48524,13802,67308
202612,Display,KR,Amazon,Grande_Washer,194,283860,151621,59545,16814,81956
202503,Display,DE,BestBuy,Jet_Cleaner,315,381245,91465,35070,22634,106618
202610,Display,DE,Costco,QLED85_Q80,163,484167,90328,23181,26054,108130
202609,Mobile,KR,Target,OLED77_C4,479,417214,108126,76006,29541,107800
202502,Display,DE,Walmart,NeoQLED_75,402,439819,89582,51887,22752,67014
202612,Display,KR,BestBuy,QLED85_Q80,452,155341,107943,56894,20690,65479
202512,Mobile,PL,Amazon,OLED77_C4,381,471782,177025,75339,29044,59394
202506,Mobile,US,Target,SmartMonitor_M8,468,189351,60357,52817,4179,48349
202502,Appliances,KR,Target,Galaxy_A55,175,154002,60339,72565,9232,38440
202609,Mobile,PL,Target,Galaxy_S24U,93,488441,193762,63126,22036,134687
202501,Display,KR,Walmart,Bespoke_4Door,179,160053,246370,49677,17002,-665
202512,TV,PL,Costco,OLED77_C4,57,482339,57895,6691,6311,51137
202610,Display,PL,Target,Bespoke_4Door,340,24372,45996,35339,20028,116804
202512,Display,PL,Target,Bespoke_4Door,137,385806,35622,53869,26484,-4431
202605,Display,US,Target,Galaxy_A55,455,225843,67280,75874,8112,143515
202510,Mobile,KR,Costco,OLED_Monitor34,383,484853,20010,18019,13794,121023
202604,TV,KR,Amazon,OLED65_G4,61,221825,191603,24616,23808,46102
202603,Display,KR,BestBuy,OLED77_C4,176,59542,46946,74725,13385,47925
202603,Mobile,PL,Target,Jet_Cleaner,102,406643,129771,31744,19934,106884
202607,Appliances,DE,Target,Bespoke_4Door,263,48364,179223,54358,26730,-7902
202512,TV,DE,Amazon,NeoQLED_75,340,269678,176781,54476,22708,8106
202611,TV,KR,Costco,OLED65_G4,115,179035,64307,30949,3091,80280
202608,Mobile,DE,Costco,OLED77_C4,108,33971,87219,75337,28452,94581
202503,Appliances,DE,BestBuy,Jet_Cleaner,176,148751,207416,60493,4132,76633
202505,Display,DE,Costco,Jet_Cleaner,23,65272,240972,6931,20650,73177
202607,Appliances,PL,Costco,SmartMonitor_M8,65,480604,249317,60743,14648,65389
202507,TV,KR,Amazon,Galaxy_ZFold6,242,198341,198739,14674,27462,30113
202609,Mobile,KR,Amazon,Jet_Cleaner,449,84279,164088,57574,26352,75836
202509,Appliances,UK,Amazon,SmartMonitor_M8,368,390791,16051,15649,22806,138019
202507,Display,UK,BestBuy,Galaxy_A55,368,327530,171846,10835,16614,100452
202606,Appliances,DE,Costco,Jet_Cleaner,188,296573,55835,36368,1093,6874
202504,Appliances,KR,Amazon,NeoQLED_75,415,314547,184833,31439,6790,63402
202602,Mobile,DE,Walmart,NeoQLED_75,307,397953,138568,40845,28740,53684
202606,Mobile,PL,Target,Bespoke_4Door,72,22252,107261,14281,25289,-1193
202509,TV,KR,Walmart,OLED77_C4,190,96179,29184,48818,19200,36984
202609,Mobile,PL,BestBuy,Grande_Washer,110,116833,140702,31864,26107,52606
202502,Appliances,PL,Costco,Jet_Cleaner,399,299711,80751,44849,5616,71303
202608,Display,KR,Costco,OLED65_G4,347,22967,149783,63423,1119,143741
202603,TV,DE,Target,NeoQLED_75,50,392691,192110,7359,27569,29357
202507,Mobile,UK,BestBuy,SmartMonitor_M8,178,61680,5223,32210,21339,44503
202512,Appliances,DE,BestBuy,QLED85_Q80,388,406052,65449,56069,19955,18223
202508,Appliances,UK,Walmart,NeoQLED_75,221,335351,27451,3228,8943,107980
202603,TV,US,BestBuy,OLED77_C4,33,294545,77219,47542,16342,73917
202503,TV,UK,Costco,NeoQLED_75,408,166011,41990,56783,21803,71966
202602,Mobile,KR,Costco,Grande_Washer,150,408353,87532,57871,28308,-6310
202605,Mobile,UK,Costco,Galaxy_S24U,344,276521,74734,33232,29880,41912
202504,Display,US,Costco,Galaxy_A55,332,202717,179900,75851,4839,142853
202606,TV,UK,Walmart,OLED_Monitor34,109,161758,64090,67479,28198,27918
202508,TV,DE,Costco,QLED85_Q80,234,408944,128971,77607,6248,35803
202504,Appliances,UK,Costco,OLED77_C4,424,395874,221784,24540,14923,98633
202502,Display,KR,Target,Galaxy_S24U,282,461153,153422,17651,4597,110338
202506,Mobile,KR,Walmart,OLED_Monitor34,179,318760,224680,38846,23798,-7203
202610,Display,PL,Walmart,Galaxy_ZFold6,284,181432,75129,58095,20094,95679
202510,Display,DE,BestBuy,QLED85_Q80,434,41945,31931,34963,3536,-4607
202504,Appliances,DE,BestBuy,Jet_Cleaner,193,219711,170232,48611,23664,-9953
202610,TV,UK,Amazon,Grande_Washer,286,386718,181851,31794,10590,65929
202606,TV,UK,Costco,OLED77_C4,259,47734,215094,58559,27269,-3900
202512,TV,KR,Costco,OLED65_G4,85,460293,130328,3357,21338,136419
202502,Mobile,PL,Target,OLED_Monitor34,273,109025,26135,46042,12014,17499
202510,TV,US,Walmart,OLED65_G4,64,28855,9860,74182,17252,99280
202504,Display,UK,Walmart,OLED_Monitor34,145,290576,15382,71215,15769,97357
202602,Display,DE,Target,Galaxy_ZFold6,24,264226,122284,62962,12570,122299
202604,TV,UK,Walmart,Grande_Washer,426,248961,139269,32096,5304,46690
202603,Display,PL,Target,NeoQLED_75,367,35252,8625,54642,3714,146363
202508,Mobile,DE,Costco,QLED85_Q80,471,411316,151945,9548,8864,15617
202602,TV,PL,Costco,Galaxy_A55,108,295128,99407,4317,11048,117808
202611,Mobile,DE,Target,OLED65_G4,369,106499,102739,5445,25837,70467
202508,TV,UK,Costco,QLED85_Q80,230,351079,184368,26862,14439,130886
202609,Mobile,PL,BestBuy,Grande_Washer,396,51689,231682,10575,23284,61204
202604,Mobile,KR,BestBuy,OLED_Monitor34,377,381597,174874,10274,18920,121814
202601,Mobile,DE,Amazon,SmartMonitor_M8,142,297304,115253,44944,3150,50021
202606,Display,PL,Target,QLED85_Q80,408,217154,125815,12272,8423,134543
202603,Mobile,PL,Walmart,OLED77_C4,237,194168,99299,73228,29906,67160
202609,Appliances,US,Walmart,QLED85_Q80,40,171897,244963,65459,22326,72415
202612,Mobile,US,Amazon,SmartMonitor_M8,80,185485,26766,40494,18977,20672
202601,Mobile,UK,BestBuy,Galaxy_S24U,150,239864,155977,76340,8186,17146
202509,Mobile,KR,Target,Jet_Cleaner,368,374771,232280,60325,3504,81955
202603,Mobile,KR,Amazon,Grande_Washer,268,474323,100938,5324,12490,50203
202601,TV,PL,BestBuy,Bespoke_4Door,374,470930,10550,7150,25891,49932
202501,Display,PL,Target,Grande_Washer,436,115020,89820,73734,19489,7888
202507,Display,PL,Costco,SmartMonitor_M8,216,69842,207852,28842,22379,130337
202509,Display,DE,BestBuy,SmartMonitor_M8,152,375581,40325,6831,4628,114228
202612,TV,UK,Target,Bespoke_4Door,191,449029,80691,29238,14510,37390
202501,Mobile,UK,BestBuy,Galaxy_A55,210,389082,174396,22045,1193,23971
202512,Mobile,US,BestBuy,Jet_Cleaner,137,417579,19876,77694,28113,140270
202508,Display,PL,Amazon,Grande_Washer,79,455555,110684,21857,12033,136292
202612,Appliances,PL,Costco,Galaxy_S24U,187,125817,39119,32451,10251,143346
202511,Mobile,DE,Target,OLED77_C4,146,241749,184760,69624,9969,148086
202607,Mobile,PL,BestBuy,Grande_Washer,213,419726,201194,26885,12400,44005
202605,Mobile,PL,Walmart,NeoQLED_75,123,186088,117186,11875,21306,70341
202508,TV,UK,Costco,OLED_Monitor34,166,79649,13764,61913,1580,80378
202503,Mobile,PL,BestBuy,Grande_Washer,184,145192,138711,32184,28868,36315
202503,Display,DE,Walmart,Bespoke_4Door,453,295516,28051,69948,15104,85166
202501,Mobile,DE,Amazon,NeoQLED_75,283,108375,235896,32217,7797,86236
202505,Display,KR,Target,Galaxy_ZFold6,392,122843,136321,39568,29442,70239
202510,Appliances,KR,Costco,NeoQLED_75,229,267487,236903,3165,4282,12361
202507,TV,US,Costco,Grande_Washer,95,462648,239211,15847,1752,109827
202509,Appliances,DE,Target,Galaxy_A55,156,349166,143946,57410,2727,3482
202507,Mobile,DE,BestBuy,Grande_Washer,128,359764,34991,71506,18304,50793
202509,Appliances,UK,Target,Jet_Cleaner,332,288517,17623,63507,12651,-8462
202508,Mobile,KR,Target,OLED77_C4,409,10018,233774,7723,3717,140810
202512,Display,US,Costco,OLED_Monitor34,268,118570,158048,79123,15703,14661
202502,Mobile,UK,BestBuy,Jet_Cleaner,339,87132,194095,21698,19402,124819
202501,TV,UK,Target,Galaxy_S24U,438,423800,48540,23055,27324,35820
202604,Appliances,KR,BestBuy,QLED85_Q80,35,68109,41719,74077,17847,69797
202611,Mobile,UK,Amazon,Grande_Washer,429,463518,24638,35814,18326,30819
202611,Display,KR,Costco,Galaxy_S24U,289,461411,230480,52097,25199,75724
202612,Appliances,DE,Costco,Grande_Washer,78,258349,205449,56659,5484,59557
202505,TV,DE,Amazon,OLED_Monitor34,476,215689,39164,55497,13811,64896
202503,Mobile,KR,Target,OLED_Monitor34,337,240315,225180,41824,24131,146212
202512,TV,PL,Amazon,Galaxy_A55,298,258194,156438,61360,16713,10806
202508,Display,PL,Amazon,Galaxy_ZFold6,456,234599,194447,10847,20840,11724
202610,Appliances,US,Costco,OLED65_G4,194,82105,182479,66865,23611,56525
202503,Appliances,PL,Walmart,Grande_Washer,404,443801,180399,56554,19375,12598
202501,Appliances,US,Costco,NeoQLED_75,15,252888,233539,53860,24321,39688
202503,Display,KR,Amazon,Galaxy_A55,141,193106,129946,62743,25829,20590
202505,Mobile,KR,Costco,QLED85_Q80,239,451742,231097,43970,3438,37574
202603,Mobile,KR,Walmart,OLED77_C4,395,73942,205808,55327,8109,38245
202602,Mobile,US,Amazon,OLED77_C4,333,362016,73151,10716,23437,130010
202503,TV,UK,Costco,Galaxy_ZFold6,433,499083,248836,49251,11463,78439
202501,Display,US,Target,Galaxy_ZFold6,79,270292,149830,15156,3159,141337
202505,Appliances,UK,Amazon,OLED65_G4,220,457874,195058,20901,16257,-2024
202611,Display,DE,Walmart,Galaxy_S24U,297,413041,50484,57075,25683,112331
202602,Display,DE,Costco,NeoQLED_75,459,149099,46029,52348,16415,133866
